air-conditioner,dehumidifier,fan,camera-still,camera-video,charger-adapter,clothes-dryer,coffee-machine,computer-accessory,computer-auto,computer-desktop,computer-laptop,computer-tablet,dishwasher,flatpanel-screen,flatpanel-tv,food-processor,freezer,fridge,gaming-console,gaming-portable,garden-machine,hairdryer,headphone,heater,hi-fi,iron,kettle,lawnmower,lighting-lamp,lighting-led,lighting-other,microwave,musical-instrument,personal-grooming,personal-hygiene,personal-medical,portable-audio-video,power-tool,printer,projector,remote-control,set-top-box,sewing-machine,shredder,small-domestic,small-kitchen,food-steamer,speaker,sport-exercise,steam-cleaner,telecom,telecom-mobile,toaster,toy,vacuum-cleaner,washing-machine,watch-clock
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voet,,,,perc(ut)?euse,,,,,,,,o[vf]e?n,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pinzette,,,,,,,,opener,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pist[o]+le?t?,,,,,,,,p[ou]mpe?,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planer?,,,,,,,,pai?n,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polermaskine,,,,,,,,pan\b,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pressure,,,,,,,,patisserie,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pulv[ée]risateur,,,,,,,,peberkværn,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,raboteuse,,,,,,,,peeler,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rasentrimmer,,,,,,,,pétrin,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,reiniger,,,,,,,,plaque,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,router,,,,,,,,raclette,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rystepudser,,,,,,,,reibe,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s[aæ][wvh],,,,,,,,robot,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,säge,,,,,,,,s(kum|chui)mer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sander,,,,,,,,s[aeo]lt?(ière)?,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sauger,,,,,,,,scales?,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schaar,,,,,,,,schäumer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schere,,,,,,,,schneide,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schleif[a-zß-ÿœ]+,,,,,,,,schuimer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schneide,,,,,,,,soda,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schraub[a-zß-ÿœ]+,,,,,,,,sorbétière,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schroevendraaier,,,,,,,,soupe?,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,schweißer,,,,,,,,sous?[ -]?vide,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sci[eé],,,,,,,,spiralizer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shredder,,,,,,,,st[ée]rili[zs](er|ateur),,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skrue,,,,,,,,stove,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slagnøgle,,,,,,,,taque,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slibe,,,,,,,,waage,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slicer,,,,,,,,wassersprudler,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slijpschijf,,,,,,,,weegschaal,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snijder,,,,,,,,wok,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,souffleur,,,,,,,,ya?ourth?i[èe]re,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprayer,,,,,,,,zerkleinerer,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sprüh,,,,,,,,[yj]ogh?urt,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tampon,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tournevis,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transformator,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tron[çc]o[n]+euse,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trykspooler,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turbine,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,visseuse,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vitres?,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wandler,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,washer,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wechselrichter,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,werkzeug,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zaag,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zentrifuge,,,,,,,,,,,,,,,,,,,
